timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
1476430010660,1002,Load cache request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Permission denied: connect,Cache loader 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: java.net.SocketException]]]

****** comparison: [[[200                                             ]]]

/",2202,1,1,0,0
1476430012666,1001,Load cache request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Permission denied: connect,Cache loader 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: java.net.SocketException]]]

****** comparison: [[[200                                             ]]]

/",2202,1,1,0,0
1476430014669,1000,Load cache request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Permission denied: connect,Cache loader 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: java.net.SocketException]]]

****** comparison: [[[200                                             ]]]

/",2202,1,1,0,0
1476430016670,1002,Load cache request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Permission denied: connect,Cache loader 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: java.net.SocketException]]]

****** comparison: [[[200                                             ]]]

/",2202,1,1,0,0
1476430018684,1003,Load cache request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Permission denied: connect,Cache loader 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: java.net.SocketException]]]

****** comparison: [[[200                                             ]]]

/",2202,1,1,0,0
1476430020689,1001,Load cache request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Permission denied: connect,Cache loader 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: java.net.SocketException]]]

****** comparison: [[[200                                             ]]]

/",2202,1,1,0,0
1476430022693,1002,Load cache request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Permission denied: connect,Cache loader 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: java.net.SocketException]]]

****** comparison: [[[200                                             ]]]

/",2202,1,1,0,0
1476430024700,1002,Load cache request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Permission denied: connect,Cache loader 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: java.net.SocketException]]]

****** comparison: [[[200                                             ]]]

/",2202,1,1,0,0
1476430026705,1002,Load cache request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Permission denied: connect,Cache loader 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: java.net.SocketException]]]

****** comparison: [[[200                                             ]]]

/",2202,1,1,0,0
1476430028709,1003,Load cache request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Permission denied: connect,Cache loader 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: java.net.SocketException]]]

****** comparison: [[[200                                             ]]]

/",2202,1,1,0,0
