timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1476435471082,1003,Request - Load simple entities,Non HTTP response code: java.net.SocketException,Non HTTP response message: Permission denied: connect,Simple entities 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: java.net.SocketException]]]

****** comparison: [[[200                                             ]]]

/",2202,20,60,http://localhost:8080/simple-entities/60266,0,0,1003
1476435471082,1003,Request - Load simple entities,Non HTTP response code: java.net.SocketException,Non HTTP response message: Permission denied: connect,Simple entities 1-4,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: java.net.SocketException]]]

****** comparison: [[[200                                             ]]]

/",2202,20,60,http://localhost:8080/simple-entities/21247,0,0,1003
1476435471082,1003,Request - Load simple entities,Non HTTP response code: java.net.SocketException,Non HTTP response message: Permission denied: connect,Simple entities 1-3,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: java.net.SocketException]]]

****** comparison: [[[200                                             ]]]

/",2202,20,60,http://localhost:8080/simple-entities/60169,0,0,1003
1476435471082,1003,Request - Load simple entities,Non HTTP response code: java.net.SocketException,Non HTTP response message: Permission denied: connect,Simple entities 1-2,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: java.net.SocketException]]]

****** comparison: [[[200                                             ]]]

/",2202,20,60,http://localhost:8080/simple-entities/43053,0,0,1003
1476435471085,1001,Request - Load simple entities,Non HTTP response code: java.net.SocketException,Non HTTP response message: Permission denied: connect,Simple entities 1-8,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: java.net.SocketException]]]

****** comparison: [[[200                                             ]]]

/",2202,20,60,http://localhost:8080/simple-entities/94415,0,0,1001
1476435471085,1001,Request - Load simple entities,Non HTTP response code: java.net.SocketException,Non HTTP response message: Permission denied: connect,Simple entities 1-7,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: java.net.SocketException]]]

****** comparison: [[[200                                             ]]]

/",2202,20,60,http://localhost:8080/simple-entities/84264,0,0,1001
1476435471085,1002,Request - Load simple entities,Non HTTP response code: java.net.SocketException,Non HTTP response message: Permission denied: connect,Simple entities 1-6,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: java.net.SocketException]]]

****** comparison: [[[200                                             ]]]

/",2202,20,60,http://localhost:8080/simple-entities/75698,0,0,1002
1476435471085,1003,Request - Load simple entities,Non HTTP response code: java.net.SocketException,Non HTTP response message: Permission denied: connect,Simple entities 1-11,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: java.net.SocketException]]]

****** comparison: [[[200                                             ]]]

/",2202,20,60,http://localhost:8080/simple-entities/11522,0,0,1003
1476435471085,1003,Request - Load simple entities,Non HTTP response code: java.net.SocketException,Non HTTP response message: Permission denied: connect,Simple entities 1-10,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: java.net.SocketException]]]

****** comparison: [[[200                                             ]]]

/",2202,20,60,http://localhost:8080/simple-entities/23714,0,0,1003
1476435471087,1001,Request - Load simple entities,Non HTTP response code: java.net.SocketException,Non HTTP response message: Permission denied: connect,Simple entities 1-13,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: java.net.SocketException]]]

****** comparison: [[[200                                             ]]]

/",2202,20,60,http://localhost:8080/simple-entities/93700,0,0,1001
